Time	EMG	Muscle Force
9.456	0.0296424	0.276978
9.457	-0.19009	0.276978
9.458	-0.119124	0.276978
9.459	0.0604831	0.276978
9.46	0.115023	0.276978
9.461	0.0516558	0.276978
9.462	-0.0226639	0.276978
9.463	-0.037533	0.276978
9.464	0.0393481	0.276978
9.465	0.0409437	0.276978
9.466	-0.0495275	0.276978
9.467	-0.126457	0.276978
9.468	-0.0765668	0.276978
9.469	0.000785518	0.276978
9.47	0.118964	0.276978
9.471	0.204639	0.276978
9.472	0.0866772	0.276978
9.473	-0.123501	0.276978
9.474	-0.140359	0.276978
9.475	-0.112138	0.276978
9.476	-0.0466471	0.276978
9.477	0.115821	0.276978
9.478	0.12696	0.276978
9.479	-0.0429703	0.276978
9.48	-0.0698807	0.276978
9.481	0.0944343	0.276978
9.482	0.0337252	0.276978
9.483	-0.0672106	0.276978
9.484	-0.0966986	0.276978
9.485	0.00415963	0.276978
9.486	0.0765508	0.276978
9.487	0.0758873	0.276978
9.488	0.0754733	0.276978
9.489	-0.0875159	0.276978
9.49	-0.185557	0.276978
9.491	-0.0697269	0.276978
9.492	0.116628	0.276978
9.493	0.160643	0.276978
9.494	0.0675112	0.276978
9.495	-0.0735785	0.276978
9.496	-0.186298	0.276978
9.497	-0.0848886	0.276978
9.498	0.192915	0.276978
9.499	0.16546	0.276978
9.5	-0.0159973	0.276978
9.501	-0.0830095	0.276978
9.502	-0.14496	0.276978
9.503	-0.0646187	0.276978
9.504	0.0858641	0.276978
9.505	0.106605	0.276978
9.506	-0.0682357	0.276978
9.507	-0.142048	0.276978
9.508	0.0215052	0.276978
9.509	0.179154	0.276978
9.51	0.214633	0.276978
9.511	0.109863	0.276978
9.512	-0.158588	0.276978
9.513	-0.368378	0.276978
9.514	-0.237677	0.276978
9.515	0.0412446	0.276978
9.516	0.244643	0.276978
9.517	0.223067	0.276978
9.518	0.0693265	0.276978
9.519	-0.0226836	0.276978
9.52	-0.0263344	0.276978
9.521	-0.0232806	0.276978
9.522	-0.0852799	0.276978
9.523	-0.148082	0.276978
9.524	-0.0806398	0.276978
9.525	0.086186	0.276978
9.526	0.103743	0.276978
9.527	0.0677593	0.276978
9.528	0.0616921	0.276978
9.529	-0.0214387	0.276978
9.53	-0.100483	0.276978
9.531	-0.00675983	0.276978
9.532	0.0129466	0.276978
9.533	-0.0188993	0.276978
9.534	0.00144711	0.276978
9.535	0.0193824	0.276978
9.536	0.0179044	0.276978
9.537	0.00257547	0.276978
9.538	0.0143758	0.276978
9.539	-0.064499	0.276978
9.54	-0.0437204	0.276978
9.541	0.114691	0.276978
9.542	0.0731588	0.276978
9.543	-0.0887572	0.276978
9.544	-0.110247	0.276978
9.545	-0.0330216	0.276978
9.546	0.0440333	0.276978
9.547	0.0866591	0.276978
9.548	0.153331	0.276978
9.549	0.025827	0.276978
9.55	-0.139961	0.276978
9.551	-0.150505	0.276978
9.552	-0.0774804	0.276978
9.553	0.0171159	0.276978
9.554	0.165966	0.276978
9.555	0.155493	0.276978
9.556	-0.0792497	0.276978
9.557	-0.0953914	0.276978
9.558	-0.0217005	0.276978
9.559	-0.000830987	0.276978
9.56	0.0670763	0.276978
9.561	0.0390624	0.276978
9.562	-0.0534438	0.276978
9.563	-0.0879716	0.277352
9.564	0.0233774	0.276978
9.565	0.0700695	0.277352
9.566	0.00672592	0.276978
9.567	-0.0532508	0.277352
9.568	-0.0296332	0.276978
9.569	0.0252973	0.277352
9.57	0.0568561	0.277352
9.571	0.0791796	0.277352
9.572	0.0108478	0.277352
9.573	-0.0838351	0.277352
9.574	-0.0946742	0.276978
9.575	-0.048921	0.276978
9.576	-0.00569725	0.276978
9.577	0.0542291	0.276978
9.578	0.0844898	0.276978
9.579	0.0290168	0.277352
9.58	-0.0172901	0.276978
9.581	0.0851409	0.276978
9.582	0.0341954	0.276978
9.583	-0.133431	0.277352
9.584	-0.14925	0.276978
9.585	-0.0918382	0.277352
9.586	0.0604022	0.276978
9.587	0.12283	0.277352
9.588	0.16354	0.277352
9.589	0.0670824	0.276978
9.59	-0.0649091	0.276978
9.591	-0.107153	0.276978
9.592	-0.0930098	0.276978
9.593	-0.0474083	0.277352
9.594	0.0667578	0.277352
9.595	-0.0267172	0.277352
9.596	0.0377367	0.277352
9.597	0.0591	0.277352
9.598	0.0648732	0.276978
9.599	0.0260093	0.277352
9.6	-0.0289999	0.276978
9.601	-0.0724221	0.276978
9.602	-0.0875872	0.276978
9.603	-0.0654043	0.276978
9.604	0.0150352	0.276978
9.605	0.159824	0.276978
9.606	0.138386	0.277352
9.607	-0.0449084	0.277352
9.608	-0.0812641	0.277352
9.609	-0.0864109	0.277352
9.61	-0.0536889	0.277352
9.611	0.032206	0.276978
9.612	0.0231928	0.277352
9.613	0.0326975	0.277352
9.614	0.0427761	0.277352
9.615	0.0515151	0.277352
9.616	0.027076	0.277352
9.617	-0.0564466	0.277352
9.618	-0.104486	0.277352
9.619	-0.0653343	0.277352
9.62	0.0211453	0.277352
9.621	0.0758582	0.277352
9.622	0.108568	0.277352
9.623	0.0169255	0.277352
9.624	-0.113905	0.277352
9.625	-0.0833614	0.277352
9.626	0.0303541	0.277352
9.627	0.0856807	0.277352
9.628	0.066035	0.277352
9.629	0.00294415	0.277352
9.63	-0.0916442	0.277352
9.631	-0.113725	0.277352
9.632	0.02015	0.277352
9.633	0.0436877	0.277352
9.634	0.0112318	0.277352
9.635	0.0987388	0.277352
9.636	0.0490787	0.277352
9.637	-0.049565	0.277352
9.638	-0.0442062	0.277352
9.639	-0.0465719	0.277352
9.64	-0.0625647	0.277352
9.641	-0.0135696	0.277352
9.642	0.0654323	0.277352
9.643	0.0795142	0.277352
9.644	0.0411487	0.277352
9.645	-0.0104075	0.277352
9.646	-0.0442514	0.277352
9.647	-0.0721736	0.277352
9.648	-0.0397149	0.277352
9.649	0.0528761	0.277352
9.65	0.0655674	0.277352
9.651	0.0069475	0.277352
9.652	-0.0327959	0.277352
9.653	-0.034305	0.277352
9.654	0.00471605	0.277352
9.655	0.0502325	0.277352
9.656	0.0294442	0.277352
9.657	-0.0709968	0.277352
9.658	-0.0601919	0.277352
9.659	0.0186087	0.277352
9.66	0.0657981	0.277352
9.661	0.0799298	0.277352
9.662	0.045619	0.277352
9.663	-0.0912564	0.277352
9.664	-0.183278	0.277352
9.665	-0.07664	0.277352
9.666	0.0472871	0.277352
9.667	0.199658	0.277352
9.668	0.234456	0.277352
9.669	0.0368251	0.277352
9.67	-0.194731	0.277352
9.671	-0.290842	0.277352
9.672	-0.143084	0.277352
9.673	0.121885	0.277352
9.674	0.21611	0.277352
9.675	0.144295	0.277352
9.676	-0.0177608	0.277352
9.677	-0.0725956	0.277352
9.678	-0.0339741	0.277352
9.679	-0.0266249	0.277352
9.68	-0.0581764	0.277352
9.681	-0.0671543	0.277352
9.682	0.0368109	0.277352
9.683	0.0900971	0.277352
9.684	0.042836	0.277352
9.685	-0.00600725	0.277352
9.686	-0.0217224	0.277352
9.687	-0.0143727	0.277352
9.688	0.00993453	0.277352
9.689	0.0176212	0.277352
9.69	-0.0645391	0.277352
9.691	-0.063378	0.277352
9.692	0.0186299	0.277352
9.693	0.0768596	0.277352
9.694	0.06112	0.277352
9.695	0.0379956	0.277352
9.696	-0.0179997	0.277352
9.697	-0.0926741	0.277352
9.698	-0.0864279	0.277352
9.699	-0.0135735	0.277352
9.7	0.046549	0.277352
9.701	0.0609781	0.277352
9.702	0.0375414	0.277352
9.703	0.0404648	0.277352
9.704	0.00687158	0.277352
9.705	-0.0128155	0.277352
9.706	-0.042697	0.277352
9.707	-0.13444	0.277352
9.708	-0.0775822	0.277352
9.709	0.0979442	0.277352
9.71	0.15381	0.277352
9.711	0.0579755	0.277352
9.712	-0.035225	0.277352
9.713	-0.0814456	0.277352
9.714	-0.099589	0.277352
9.715	0.00635399	0.277352
9.716	0.0752543	0.277352
9.717	0.0846256	0.277352
9.718	0.00334282	0.277352
9.719	-0.0852743	0.277352
9.72	-0.0754796	0.277352
9.721	-0.0155749	0.277352
9.722	0.0934385	0.277352
9.723	0.0601873	0.277352
9.724	-0.00553419	0.277352
9.725	-0.0191311	0.277352
9.726	-0.0207582	0.277352
9.727	-0.0167732	0.277352
9.728	-0.0388005	0.276978
9.729	0.0125848	0.277352
9.73	-0.00340958	0.277352
9.731	-0.0160698	0.277352
9.732	0.0758772	0.277352
9.733	0.0446165	0.277352
9.734	-0.0337591	0.277352
9.735	-0.0355431	0.277352
9.736	-0.0280458	0.277352
9.737	-0.0221277	0.277352
9.738	0.0297609	0.277352
9.739	0.0651608	0.277352
9.74	-0.0271898	0.277352
9.741	-0.0519345	0.277352
9.742	0.00411036	0.277352
9.743	0.0486569	0.277352
9.744	0.0381312	0.277352
9.745	-0.0109869	0.277352
9.746	-0.0617811	0.277352
9.747	-0.084094	0.277352
9.748	-0.000586777	0.277352
9.749	0.102012	0.277352
9.75	0.0774019	0.277352
9.751	0.0128237	0.277352
9.752	-0.0501222	0.277352
9.753	-0.0404342	0.277352
9.754	-0.0201833	0.277352
9.755	0.00819002	0.277352
9.756	0.0191015	0.277352
9.757	-0.0924512	0.277352
9.758	-0.0684734	0.277352
9.759	0.0581625	0.277352
9.76	0.14987	0.277352
9.761	0.131234	0.277352
9.762	0.032364	0.277352
9.763	-0.109011	0.277352
9.764	-0.200833	0.277352
9.765	-0.102336	0.277352
9.766	0.0115627	0.277352
9.767	0.0597636	0.277352
9.768	0.143352	0.277352
9.769	0.110254	0.277352
9.77	0.00865387	0.277352
9.771	-0.0624294	0.277352
9.772	-0.0354053	0.277352
9.773	-0.0434311	0.277352
9.774	-0.0822759	0.277352
9.775	-0.0542568	0.277352
9.776	0.0389664	0.277352
9.777	0.104853	0.277352
9.778	0.098729	0.277352
9.779	0.0144333	0.277352
9.78	-0.0794982	0.277352
9.781	-0.0887155	0.277352
9.782	0.00724091	0.277352
9.783	0.0200934	0.277352
9.784	-0.0061891	0.277352
9.785	-0.00503218	0.277352
9.786	0.0138046	0.277352
9.787	0.0661786	0.277352
9.788	0.07552	0.277352
9.789	-0.00909493	0.277352
9.79	-0.14684	0.277352
9.791	-0.158835	0.277352
9.792	-0.0326385	0.277352
9.793	0.188928	0.277352
9.794	0.191359	0.277352
9.795	0.0716218	0.277352
9.796	-0.0854931	0.277352
9.797	-0.228717	0.277352
9.798	-0.0889377	0.277352
9.799	0.0911908	0.277352
9.8	0.0403437	0.277352
9.801	0.0464918	0.277352
9.802	0.018552	0.277352
9.803	-0.0131981	0.277352
9.804	0.0270246	0.277352
9.805	0.0238267	0.277352
9.806	-0.000375193	0.277352
9.807	-0.0724198	0.277352
9.808	-0.0581708	0.277352
9.809	0.0052365	0.277352
9.81	0.0355004	0.277352
